LoanAmount,Income,Age,IsEmployed,ExistingDebt,IsLoanApproved
3700000,800000,69,1,300000,0
3800000,600000,56,1,0,0
1600000,1000000,43,1,0,1
700000,1100000,42,0,300000,0
2200000,100000,64,1,300000,0
500000,900000,39,1,0,1
2200000,400000,59,1,0,0
2100000,300000,47,0,300000,0
3900000,700000,43,1,300000,0
1400000,800000,58,1,300000,1
900000,800000,26,0,300000,0
900000,200000,69,1,300000,0
3400000,700000,56,1,0,0
3600000,900000,33,1,300000,1
1700000,1100000,56,1,300000,1
1500000,200000,55,1,300000,0
2300000,1000000,68,1,300000,0
500000,600000,41,1,300000,1
1400000,700000,33,1,0,1
2100000,700000,55,0,300000,0
3400000,1000000,47,1,300000,1
700000,700000,55,1,0,1
300000,200000,53,1,0,1
500000,500000,67,0,300000,0
3600000,900000,28,0,0,0
2200000,900000,47,1,0,1
300000,600000,46,1,300000,1
1400000,500000,67,1,300000,0
1700000,300000,60,1,0,0
2600000,1000000,38,1,300000,1
1900000,400000,45,1,300000,0
3100000,1000000,48,1,0,1
3900000,1000000,25,1,300000,1
2000000,300000,48,0,0,0
3500000,600000,68,0,300000,0
400000,400000,51,1,0,1
3600000,1000000,24,1,0,1
1800000,700000,27,1,0,1
1300000,700000,29,0,300000,0
3900000,200000,37,0,0,0
1300000,900000,36,1,300000,1
3900000,800000,57,1,300000,0
3700000,900000,61,1,300000,0
1000000,500000,29,1,300000,1
400000,800000,60,1,0,1
1700000,700000,51,1,300000,1
200000,200000,33,1,0,1
2100000,400000,25,1,300000,0
700000,900000,35,0,0,0
1500000,1000000,46,0,300000,0
2600000,1100000,26,1,300000,1
600000,1000000,44,0,300000,0
500000,300000,51,1,300000,1
400000,1100000,60,1,300000,1
1200000,300000,33,1,300000,1
2000000,800000,36,1,300000,1
2600000,100000,40,0,300000,0
900000,500000,47,1,0,1
2700000,300000,66,0,300000,0
2700000,1000000,25,1,300000,1
1000000,600000,59,1,300000,1
1300000,200000,29,1,0,0
3000000,900000,51,1,0,1
300000,1000000,36,1,0,1
500000,600000,33,1,0,1
3300000,500000,31,1,300000,0
1000000,300000,33,0,300000,0
3800000,900000,38,1,300000,0
3300000,500000,61,1,0,0
900000,900000,23,1,300000,1
3500000,1100000,40,1,300000,1
3200000,300000,50,0,0,0
1000000,500000,22,1,300000,1
1300000,400000,43,1,0,1
3400000,600000,46,0,300000,0
600000,500000,31,1,300000,1
2700000,1000000,30,1,0,1
1800000,100000,40,1,0,0
1100000,100000,33,1,300000,0
2600000,900000,50,1,0,1
1900000,900000,39,1,300000,1
2500000,700000,37,1,300000,1
3100000,100000,25,0,0,0
2300000,800000,64,1,300000,1
2600000,600000,46,1,0,1
1600000,900000,43,1,300000,1
500000,900000,50,1,0,1
2600000,1000000,43,1,0,1
1700000,500000,36,0,300000,0
2600000,400000,69,1,0,0
500000,1100000,23,1,0,1
2600000,800000,34,1,0,1
3900000,1100000,33,0,300000,0
3700000,500000,47,0,300000,0
3000000,300000,61,1,0,0
3500000,1100000,33,1,0,1
500000,1000000,48,1,0,1
1400000,400000,67,1,0,0
2200000,1000000,56,1,0,1
2800000,1100000,23,1,300000,1
3700000,1000000,38,0,300000,0
1800000,600000,23,1,0,1
1300000,800000,38,0,300000,0
3000000,300000,55,1,0,0
3200000,500000,55,1,0,0
1200000,700000,66,1,0,0
2700000,200000,60,1,300000,0
1200000,800000,62,1,300000,1
2400000,1000000,30,0,300000,0
1200000,600000,35,1,0,1
2000000,800000,64,1,0,1
2700000,700000,41,1,0,1
1700000,700000,54,0,300000,0
3700000,500000,45,1,300000,0
3200000,500000,26,0,300000,0
400000,100000,53,0,300000,0
1300000,1100000,44,1,0,1
2600000,400000,22,0,300000,0
2000000,300000,59,1,0,0
1500000,600000,53,1,0,1
3100000,1000000,37,1,300000,1
200000,800000,41,1,300000,1
2900000,500000,37,0,300000,0
1200000,1000000,34,1,300000,1
3500000,800000,67,1,300000,0
1100000,1100000,32,1,0,1
3200000,400000,63,1,0,0
3900000,500000,38,1,300000,0
2600000,900000,28,1,300000,1
800000,900000,43,1,0,1
2600000,200000,52,1,300000,0
2900000,700000,25,1,0,1
2200000,600000,38,0,0,0
1600000,100000,22,1,0,0
200000,500000,23,1,0,1
300000,400000,54,0,300000,0
400000,800000,65,0,0,0
2000000,200000,40,1,300000,0
1600000,400000,40,1,300000,1
300000,700000,44,1,300000,1
2900000,1000000,37,1,300000,1
1300000,700000,37,0,300000,0
2900000,600000,50,1,300000,0
1900000,1000000,29,1,0,1
3600000,600000,49,1,0,0
1200000,100000,46,0,0,0
200000,500000,46,1,300000,1
3900000,200000,34,1,0,0
300000,900000,35,1,300000,1
2900000,800000,40,1,0,1
3700000,300000,36,1,0,0
800000,800000,36,1,300000,1
400000,400000,42,1,0,1
2400000,600000,29,1,300000,0
3200000,1000000,66,1,300000,0
1500000,200000,65,1,300000,0
2000000,700000,49,1,0,1
2600000,1100000,66,1,300000,0
2900000,800000,37,0,300000,0
2400000,500000,45,1,0,1
400000,800000,33,1,0,1
400000,1100000,35,1,0,1
600000,200000,51,1,300000,1
2000000,900000,53,1,0,1
3800000,1100000,68,1,300000,0
1100000,1100000,40,1,0,1
3300000,300000,26,1,0,0
3100000,100000,50,0,300000,0
3400000,700000,23,1,300000,0
2600000,1000000,45,1,300000,1
400000,900000,38,1,0,1
2900000,200000,63,1,300000,0
1800000,600000,48,1,0,1
2600000,200000,24,1,0,0
1500000,400000,69,1,300000,0
2900000,1000000,39,0,300000,0
1500000,600000,42,1,300000,1
2600000,900000,60,1,300000,1
2400000,1000000,22,1,0,1
3400000,1000000,28,1,0,1
3000000,900000,66,1,300000,0
2800000,500000,44,1,300000,0
2500000,600000,37,0,0,0
3400000,700000,32,1,0,1
1800000,1000000,56,1,0,1
2300000,900000,62,1,300000,1
3600000,200000,60,1,300000,0
1500000,800000,43,0,0,0
300000,500000,56,0,300000,0
1700000,400000,54,1,0,1
2100000,200000,64,1,300000,0
1800000,100000,66,1,0,0
2300000,100000,57,1,300000,0
1500000,600000,63,1,300000,1
3700000,800000,61,0,0,0
3500000,200000,49,1,0,0
3300000,100000,32,1,0,0
1700000,400000,26,1,0,1
3100000,300000,39,1,300000,0
3100000,900000,25,1,0,1
1300000,800000,59,1,300000,1
3300000,800000,52,0,0,0
1500000,400000,45,0,0,0
200000,600000,51,1,0,1
3600000,100000,60,0,300000,0
800000,600000,52,1,300000,1
900000,400000,33,1,300000,1
1200000,800000,24,0,0,0
1900000,600000,51,0,0,0
800000,700000,29,1,300000,1
1800000,100000,31,1,300000,0
3500000,200000,45,1,300000,0
900000,600000,22,1,0,1
1300000,600000,39,1,0,1
300000,1100000,62,0,300000,0
1600000,400000,43,1,0,1
1300000,700000,52,1,300000,1
1300000,600000,48,1,300000,1
2700000,400000,37,1,300000,0
3400000,200000,39,1,0,0
2300000,1100000,32,1,0,1
3300000,1000000,39,1,300000,1
2500000,400000,25,1,300000,0
2400000,600000,61,1,0,1
1400000,600000,31,1,300000,1
2800000,1100000,51,1,300000,1
700000,700000,25,1,300000,1
3500000,900000,29,1,300000,1
3500000,1000000,38,1,0,1
500000,800000,56,1,300000,1
3300000,1000000,26,1,300000,1
2600000,600000,48,1,0,1
1400000,1100000,58,1,300000,1
2500000,100000,28,1,0,0
2800000,500000,54,1,300000,0
3400000,200000,39,1,0,0
1600000,700000,59,0,300000,0
3700000,900000,49,1,0,1
1500000,200000,36,1,300000,0
2700000,1100000,44,1,300000,1
2000000,1100000,53,1,0,1
2900000,900000,30,0,0,0
300000,1100000,51,1,0,1
1800000,1000000,50,1,300000,1
2600000,200000,53,1,300000,0
500000,300000,56,1,0,1
3800000,800000,39,1,0,0
2700000,500000,50,1,300000,0
1000000,400000,69,1,0,0
2800000,700000,38,1,0,1
3000000,600000,30,1,0,0
3100000,200000,66,1,0,0
1800000,400000,29,1,0,1
2200000,400000,34,0,0,0
300000,1000000,54,1,0,1
400000,800000,42,0,0,0
3800000,700000,65,0,300000,0
2900000,300000,33,1,0,0
2800000,300000,51,0,0,0
2000000,1100000,62,1,300000,1
2400000,1100000,22,1,300000,1
3400000,800000,42,0,300000,0
2200000,900000,67,1,300000,0
3800000,800000,50,1,0,0
3400000,700000,35,0,0,0
2900000,600000,59,1,300000,0
300000,1000000,69,1,300000,0
1200000,1000000,61,1,300000,1
1400000,600000,26,1,0,1
1100000,700000,68,1,300000,0
2300000,200000,34,0,300000,0
3800000,100000,59,1,0,0
3800000,200000,26,0,0,0
2100000,100000,63,1,300000,0
1600000,500000,58,1,0,1
1900000,1100000,38,0,300000,0
3400000,500000,40,1,300000,0
3700000,200000,59,1,0,0
2400000,400000,52,0,300000,0
1300000,600000,68,1,300000,0
800000,800000,57,1,300000,1
400000,400000,22,1,0,1
3700000,900000,31,1,0,1
3600000,300000,55,1,0,0
2200000,800000,34,1,300000,1
2300000,400000,28,1,0,0
1300000,400000,58,1,300000,1
700000,400000,57,1,300000,1
3800000,200000,60,1,300000,0
3000000,300000,58,1,300000,0
3100000,400000,52,1,0,0
500000,200000,41,1,300000,1
2600000,700000,60,0,300000,0
1500000,900000,66,1,300000,0
2100000,600000,57,1,300000,1
2700000,300000,36,1,0,0
1000000,1000000,51,1,300000,1
3700000,700000,39,0,300000,0
600000,300000,25,1,300000,1
3400000,800000,51,1,300000,1
600000,700000,49,1,300000,1
900000,800000,25,1,0,1
2800000,200000,55,0,0,0
2300000,100000,49,0,0,0
800000,900000,58,1,300000,1
3200000,800000,43,1,0,1
2600000,800000,61,1,300000,1
3300000,1000000,64,1,300000,1
3100000,800000,32,1,300000,1
700000,600000,51,1,0,1
2900000,700000,51,1,300000,0
